Index,Title-EN,Raga-EN,Tala-EN,Title-SA,Raga-SA,Tala-SA,Mismatch-Reason
55,[SYNCED] कामेश्वरेण,śrī,Unknown,कामेश्वरेण,श्री (२२),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
56,kāyārohaṇeśam,devagāndhāram,rūpakam,कायारोहणशम्,देवगान्धारम् (२२),Unknown,"Scores: T=92.3, R=100.0, TL=0.0"
58,kāśīviśālāksīm,gamakakriyā,Unknown,काशीविशालाक्षीम्,गमकक्रिया (५३),रूपकम्,"Scores: T=100.0, R=100.0, TL=0.0"
59,kāsīviśālāksīm,kāmbhoji,aṭa,काशीविश्वेश्वर,काम्भोजि (२८),अट,"Scores: T=64.3, R=100.0, TL=100.0"
60,[SYNCED] कुमारस्वामिनम्,asāveri,Unknown,कुमारस्वामिनम्,असावेरि (द),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
65,kusumākaraśobhita,kusumākaram,miśra cāpu,कुसुमाकरशोभित,कुसुमाकरम् (७१),रूपकम् ३३,"Scores: T=100.0, R=100.0, TL=30.0"
66,kṛsnānandamukundamurāre,gaulipantu,Unknown,कृष्णानन्दमुकुन्दमुरारे,गौळिपन्तु (१५),मिश्र चापु,"Scores: T=100.0, R=100.0, TL=0.0"
69,kodanḍarāmam,kokilāravam,Unknown,कोदण्डरामम्,कोकिलारवम् (११),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
72,gajādhīśādanyam,nā,miśra cāpu,गजाधीशादन्यम्,नाटकुरञ्जि (२८),मिश्र चापु,"Scores: T=100.0, R=30.8, TL=100.0"
76,vāṇīramaṇānandam varadam vadane dviradam varabāla guruguham,rudrapriyā,ādi,गणनायकम्,रुद्रप्रिया (२२),आदि,"Scores: T=25.7, R=100.0, TL=100.0"
81,girijayā ajayā,śaṅkarābharaṇam,ādi,गीतिचक्ररथस्थितायै,शङ्कराभरणम् (२१),आदि,"Scores: T=37.8, R=100.0, TL=100.0"
