Composer,Krithi,Raga,Raga_Normalized,Hyperlink
Thyagaraja,endukI calamu,SankarAbharaNaM,sankarabharanam,http://thyagaraja-vaibhavam.blogspot.com/2008/03/thyagaraja-kriti-enduki-chalamu-raga.html
Thyagaraja,endukO nI manasu,kalyANi,kalyani,http://thyagaraja-vaibhavam.blogspot.com/2008/09/thyagaraja-kriti-enduko-nee-manasu-raga.html
Thyagaraja,enduku daya rAdu,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/10/thyagaraja-kriti-enduku-daya-radu-raga.html
Thyagaraja,enduku peddala,SankarAbharaNaM,sankarabharanam,http://thyagaraja-vaibhavam.blogspot.com/2008/03/thyagaraja-kriti-enduku-peddala-raga.html
Thyagaraja,ennaDO rakshincitE,saurAshTraM,saurashtram,http://thyagaraja-vaibhavam.blogspot.com/2007/05/thyagaraja-kriti-ennado-rakshinchitae.html
Thyagaraja,ennaga manasuku,nIlAmbari,nilambari,http://thyagaraja-vaibhavam.blogspot.com/2008/06/thyagaraja-kriti-ennaga-manasuku-raga.html
Thyagaraja,ennALLu tirigEdi,mALava SrI,malava,http://thyagaraja-vaibhavam.blogspot.com/2007/09/thyagaraja-kriti-ennaallu-thirigedi.html
Thyagaraja,enta muddO,bindu mAlini,bindumalini,http://thyagaraja-vaibhavam.blogspot.com/2007/04/thyagaraja-kriti-enta-muddo-raga-bindu.html
Thyagaraja,enta pApinaiti,gauLipantu,gaulipantu,http://thyagaraja-vaibhavam.blogspot.com/2007/03/thyagaraja-kriti-enta-paapinaiti-raga.html
Thyagaraja,enta vEDukondu,sarasvati manOhari,sarasvatimanohari,http://thyagaraja-vaibhavam.blogspot.com/2008/02/thyagaraja-kriti-entha-vedukondu-raga.html
Thyagaraja,entanucu varNintunE,saurAshTraM,saurashtram,http://thyagaraja-vaibhavam.blogspot.com/2007/05/thyagaraja-kriti-entanucu-varnintunae.html
Thyagaraja,eTlA dorigitivO,vasanta,vasanta,http://thyagaraja-vaibhavam.blogspot.com/2007/04/thyagaraja-kriti-etlaa-dorigitivo-raga.html
Thyagaraja,eTula brOtuvO,cakravAkaM,cakravakam,http://thyagaraja-vaibhavam.blogspot.com/2007/04/thyagaraja-kriti-etula-brotuvo-raga.html
Thyagaraja,eTulaina bhakti,sAma,sama,http://thyagaraja-vaibhavam.blogspot.com/2008/02/thyagaraja-kriti-etulaina-bhakti-raga.html
Thyagaraja,evarani nirNayinciri,dEvAmRta varshiNi,devamrtavarshini,http://thyagaraja-vaibhavam.blogspot.com/2007/07/thyagaraja-kriti-evarani-nirnayinchiri.html
Thyagaraja,evariccirirA,madhyamAvati,madhyamavati,http://thyagaraja-vaibhavam.blogspot.com/2007/09/thyagaraja-kriti-evaricchiriraa-raga.html
Thyagaraja,evaru teliya poyyEru,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-evaru-teliyapoyyeru.html
Thyagaraja,evarunnAru brOva,mALava SrI,malava,http://thyagaraja-vaibhavam.blogspot.com/2007/09/thyagaraja-kriti-evarunnaaru-brova-raga.html
Thyagaraja,evvarE rAmayya,gAngEya bhUshaNi,gangeyabhushani,http://thyagaraja-vaibhavam.blogspot.com/2008/07/thyagaraja-kriti-evvare-ramayya-raga.html
Thyagaraja,E dAri sancarinturA,Sruti ranjani,srutiranjani,http://thyagaraja-vaibhavam.blogspot.com/2008/09/thyagaraja-kriti-edaari-sancharintura.html
Thyagaraja,E pApamu jEsitirA,aThANa,athana,http://thyagaraja-vaibhavam.blogspot.com/2008/04/thyagaraja-kriti-epapamu-jesithira-raga.html
Thyagaraja,E tAvunarA,kalyANi,kalyani,http://thyagaraja-vaibhavam.blogspot.com/2008/09/thyagaraja-vaibhavam-etaavunara-raga.html
Thyagaraja,E varamaDugudu,kalyANi,kalyani,http://thyagaraja-vaibhavam.blogspot.com/2008/09/thyagaraja-kriti-evaramadugudu-raga.html
Thyagaraja,E vidhamulanaina,SankarAbharaNaM,sankarabharanam,http://thyagaraja-vaibhavam.blogspot.com/2008/03/thyagaraja-kriti-evidhamulanaina-raga.html
Thyagaraja,Ela nI daya rAdu,aThANa,athana,http://thyagaraja-vaibhavam.blogspot.com/2008/04/thyagaraja-kriti-ela-nee-daya-radu-raga.html
Thyagaraja,EmandunE vicitramunu,SrImaNi,srimani,http://thyagaraja-vaibhavam.blogspot.com/2008/10/thyagaraja-kriti-emandune-vichitramunu.html
Thyagaraja,Emani mATADitivO,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-emani-maataaditivo.html
Thyagaraja,Emani nera nammu,saurAshTraM,saurashtram,http://thyagaraja-vaibhavam.blogspot.com/2007/05/thyagaraja-kriti-emani-nera-nammu-raga.html
Thyagaraja,Emani pogaDudurA,vIra vasanta,viravasanta,http://thyagaraja-vaibhavam.blogspot.com/2007/11/thyagaraja-kriti-emani-pogaduduraa-raga.html
Thyagaraja,EmEmO teliyaka,saurAshTraM,saurashtram,http://thyagaraja-vaibhavam.blogspot.com/2007/05/thyagaraja-kriti-ememo-teliyaka-raga.html
Thyagaraja,Emi jEsitEnEmi,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-emi-jesitenemi-raga.html
Thyagaraja,Emi nEramu,SankarAbharaNaM,sankarabharanam,http://thyagaraja-vaibhavam.blogspot.com/2008/03/thyagaraja-kriti-emi-neramu-raga.html
Thyagaraja,ETi yOcanalu,kiraNAvaLi,kiranavali,http://thyagaraja-vaibhavam.blogspot.com/2007/06/thyagaraja-kriti-eti-yochanalu-raga.html
Thyagaraja,garuDa gamana,gauri manOhari,gaurimanohari,http://thyagaraja-vaibhavam.blogspot.com/2007/10/thyagaraja-kriti-garuda-gamana-raga.html
Thyagaraja,gata mOhASrita,SankarAbharaNaM,sankarabharanam,http://thyagaraja-vaibhavam.blogspot.com/2008/03/thyagaraja-kriti-gata-mohasrita-raga.html
Thyagaraja,gati nIvani,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-gati-neevani-raga-todi.html
Thyagaraja,ghuma ghuma,saurAshTraM,saurashtram,http://thyagaraja-vaibhavam.blogspot.com/2007/05/thyagaraja-kriti-ghuma-ghuma-raga.html
Thyagaraja,gItArthamu,suraTi,surati,http://thyagaraja-vaibhavam.blogspot.com/2008/02/thyagaraja-kriti-geethaarthamu-raga.html
Thyagaraja,guru lEka,gauri manOhari,gaurimanohari,http://thyagaraja-vaibhavam.blogspot.com/2007/11/thyagaraja-kriti-guru-leka-raga-gauri.html
Thyagaraja,hariyanuvAri,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-hariyanuvaani-raga.html
Thyagaraja,idi samayamurA,chAyA nATa,chayanata,http://thyagaraja-vaibhavam.blogspot.com/2008/07/thyagaraja-kriti-idi-samayamura-raga.html
Thyagaraja,ilalO praNatArti,aThANa,athana,http://thyagaraja-vaibhavam.blogspot.com/2008/04/thyagaraja-kriti-ilalo-pranathaarthi.html
Thyagaraja,inkA daya,nArAyaNa gauLa,narayanagaula,http://thyagaraja-vaibhavam.blogspot.com/2007/12/thyagaraja-kriti-inkaa-daya-raga.html
Thyagaraja,innALLa vale,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/10/thyagaraja-kriti-innaallavale-raga-todi.html
Thyagaraja,innALLu daya,nArAyaNa gauLa,narayanagaula,http://thyagaraja-vaibhavam.blogspot.com/2008/01/thyagaraja-kriti-innaallu-daya-raga.html
Thyagaraja,ISa pAhi,kalyANi,kalyani,http://thyagaraja-vaibhavam.blogspot.com/2008/09/thyagaraja-kriti-isa-pahi-mam-kalyani.html
Thyagaraja,Ivaraku jUcinadi,SankarAbharaNaM,sankarabharanam,http://thyagaraja-vaibhavam.blogspot.com/2008/03/thyagaraja-kriti-ivaraku-juchinadi-raga.html
Thyagaraja,jagadAnanda kAraka,nATa,nata,http://thyagaraja-vaibhavam.blogspot.com/2008/07/thyagaraja-kriti-jagadananda-karaka.html
Thyagaraja,jaya jaya SrI raghurAma,mangaLa kaisiki,mangalakaisiki,http://thyagaraja-vaibhavam.blogspot.com/2007/03/thyagaraja-kriti-jaya-jaya-sri.html
Thyagaraja,jAnakI ramaNa,Suddha sImantini,suddhasimantini,http://thyagaraja-vaibhavam.blogspot.com/2009/01/tyagaraja-kriti-janaki-ramana-raga.html
Thyagaraja,jnAnamosaga rAdA,pUri kalyANi,purikalyani,http://thyagaraja-vaibhavam.blogspot.com/2008/08/thyagaraja-kriti-jnanamosaga-rada-raga.html
Thyagaraja,jO jO rAma,rIti gauLa,ritigaula,http://thyagaraja-vaibhavam.blogspot.com/2007/07/thyagaraja-kriti-jo-jo-rama-raga-reethi.html
Thyagaraja,kaDa tEra rAdA,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-kada-tera-raada-raga.html
Thyagaraja,kadaluvADu,nArAyaNa gauLa,narayanagaula,http://thyagaraja-vaibhavam.blogspot.com/2008/01/thyagaraja-kriti-kadhaluvaadu-raga.html
Thyagaraja,kaddanu vAriki,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-kaddanu-vaariki-raga.html
Thyagaraja,kalala nErcina,dIpakaM,dipakam,http://thyagaraja-vaibhavam.blogspot.com/2008/08/thyagaraja-kriti-kalala-nerchina-raga.html
Thyagaraja,kali narulaku,kuntala varALi,kuntalavarali,http://thyagaraja-vaibhavam.blogspot.com/2007/11/thyagaraja-kriti-kali-narulaku-raga.html
Thyagaraja,kalugunA,pUrNa lalitA,purnalalita,http://thyagaraja-vaibhavam.blogspot.com/2007/05/thyagaraja-kriti-kalugunaa-raga-poorna.html
Thyagaraja,kamala bhavuDu,kalyANi,kalyani,http://thyagaraja-vaibhavam.blogspot.com/2008/09/thyagaraja-kriti-kamala-bhavudu-raga.html
Thyagaraja,kamalApa kula,bRndAvana sAranga,brndavanasaranga,http://thyagaraja-vaibhavam.blogspot.com/2007/09/thyagaraja-kriti-kamalaapta-kula.html
Thyagaraja,kaNTa jUDumi,vAcaspati,vacaspati,http://thyagaraja-vaibhavam.blogspot.com/2008/09/thyagaraja-kriti-kanta-judumi-raga.html
Thyagaraja,kanulu tAkani,kalyANa vasanta,kalyanavasanta,http://thyagaraja-vaibhavam.blogspot.com/2007/06/thyagaraja-kriti-kanulu-thaakani-raga.html
Thyagaraja,karuNA jaladhi,kEdAra gauLa,kedaragaula,http://thyagaraja-vaibhavam.blogspot.com/2007/12/thyagaraja-kriti-karunaa-jaladhi-raga.html
Thyagaraja,karuNa jUDavamma,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-karuna-judavamma-raga.html
Thyagaraja,kaTTu jEsinAvu,aThANa,athana,http://thyagaraja-vaibhavam.blogspot.com/2008/04/thyagaraja-kriti-kattu-jesinavu-raga.html
Thyagaraja,kAru vElpulu,kalyANi,kalyani,http://thyagaraja-vaibhavam.blogspot.com/2008/09/thyagaraja-kriti-kaaru-velpulu-raga.html
Thyagaraja,kAsiccEdE,gauLipantu,gaulipantu,http://thyagaraja-vaibhavam.blogspot.com/2007/03/thyagaraja-kriti-kaasicchedae-raga.html
Thyagaraja,koluvamarE kada,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-koluvamare-kada-raga.html
Thyagaraja,koniyADE,kOkila dhvani,kokiladhvani,http://thyagaraja-vaibhavam.blogspot.com/2008/01/thyagaraja-kriti-koniyaadae-raga-kokila.html
Thyagaraja,kOTi nadulu,tODi,todi,http://thyagaraja-vaibhavam.blogspot.com/2008/11/thyagaraja-kriti-koti-nadulu-raga-todi.html
Thyagaraja,kuvalaya daLa,nATa kuranji,natakuranji,http://thyagaraja-vaibhavam.blogspot.com/2008/01/thyagaraja-kriti-kuvalaya-dala-raga.html
Thyagaraja,lAli lAlayya,kEdAra gauLa,kedaragaula,http://thyagaraja-vaibhavam.blogspot.com/2007/12/thyagaraja-kriti-laali-laalayya-raga_26.html
Thyagaraja,lAliyUgavE,nIlAmbari,nilambari,http://thyagaraja-vaibhavam.blogspot.com/2008/06/thyagaraja-kriti-laaliyugave-raga.html
