Krithi,Raga,Hyperlink
guru guhAdanyaM,balahaMsa,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-guru-guhaadanyam-raga.html
guru guhAya bhakta,sAma,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-guru-guhaaya-raga-sama.html
guru mUrtE bahu,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-guru-moorthae-raga.html
hAlAsya nAthaM,darbAr,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-haalaasya-natham-raga.html
hari hara putraM,vasanta,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-harihara-putram-raga.html
hari yuvatIM,dESi siMhAravaM,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-hari-yuvatim-raga-desi.html
hasti vadanAya,navarOj,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-hasti-vadanaaya-raga.html
hATakESvara,bilahari,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-haatakesvara-raga.html
hE mAyE,SankarAbharaNam,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-hey-maye-raga.html
hErambAya,aThANa,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-herambaaya-raga-athana.html
hima giri kumAri ISa Priya,amRta varshiNi,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-himagiri-kumari.html
hima giri kumAri ISvari,ravikriyA,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-himagiri-kumari-isvari.html
himAcala kumArIM,jhankAra bhramari,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-himachala-kumaarim-raga.html
hiraNmayIM lakshmIM,lalitA,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-hiranmayim-lakshmim.html
ISAnAdi SivAkAra,sahAna,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-easaanaadi-sivaakaara.html
jagadISa guru guha,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-jagadeesa-guru-guha.html
jagadISa manOhari,ISa manOhari,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-jagadeesa-manohari-raga.html
jambU patE,yamunA kalyANi,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-jamboo-pathae-raga.html
jayati SivA,bhavANi,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-jayati-sivaa-raga.html
jnAna prasUnAmbikE,kalyANi,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-jnaanaprasoonaambikae.html
jnAnAmbikE,sAnAgraNi,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-jnaanaambikae-raga.html
kAdambarI priyAyai,mOhanaM,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kaadambari-priyaayai.html
kailAsa nAthaM,vEgavAhini,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-kailaasa-natham-raga.html
kailAsa nAthEna,kAmbhOji,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-kailasa-nathena-raga.html
kAla bhairavaM,bhairavaM,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kaala-bhairavam-raga.html
kalAvati kamalAsana,kalAvati,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kalaavathi-kamalasana.html
kAma kOTi pITha,saugandhini,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kama-koti-peetha.html
kAmAkshi kAma kOTi,sumadyuti,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kamakshi-kama-koti-raga.html
kAmAkshi mAM pAhi,Suddha dESi,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kamakshi-mam-pahi-raga.html
kAmAkshi vara lakshmi,bilahari,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kamakshi-vara-lakshmi.html
kAmAkshIM kalyANIM,kalyANi,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kamaksheem-kalyaneem.html
kamalAmbA saMrakshatu,Ananda bhairavi,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-kamalaambaa-rakshatu.html
kamalAmbAM bhajarE,kalyANi,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kamalaambaam-bhajarae.html
kamalAmbikAyai kanaka,kAmbhOji,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kamalaambikaayai.html
kamalAmbikAyAstava,punnAga varALi,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kamalaambikaayaastava.html
kamalAmbikE ASrita,tODi,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kamalaambikae-asrita.html
kamalAsana vandita,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-kamalaasana-vandita.html
