Krithi,Raga,Hyperlink
SvEtAraNyESvaraM,Arabhi,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-svetaranyesvaram-raga.html
SyAmaLAngi,SyAmaLaM,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-syamalangi-raga.html
SyAmaLE mInAkshi,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-syamale-meenakshi.html
tArakESvara,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-thaarakesvara-raga.html
tiruvaTISvaraM,gamaka kriyA,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-thirvateesvaram-raga.html
trilOcana mOhinIM,bhairavi,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-trilochana-mohineem.html
tripura sundari namOstu tE,dEva manOhari,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-tripura-sundari.html
tripura sundari Sankari,sAma,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-tripura-sundari-sankari.html
tyAgarAja mahadhvaja,SrI rAgaM,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-thyagaraja.html
tyAgarAja pAlayASu,gauLa,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-thyagaraja-paalayaasu.html
tyAgarAja yOga,Ananda bhairavi,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-thyagaraja-yoga.html
tyAgarAjAdanyaM,darbAr,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-thyagarajaadanyam-na.html
tyAgarAjaM bhajarE,yadukula kAmbhOji,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-thyagarajam-bhajarae.html
tyAgarAjaM bhajEhaM,nIlAmbari,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-thyagaraja-bhajeham.html
tyAgarAjAya namastE,bEgaDa,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-thyagarajaaya-namastae.html
tyAgarAjE kRtyAkRtyaM,sAranga,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-thyagarajae.html
tyAgarAjEna,sALaga bhairavi,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-thyagarajena.html
tyAgarAjO virAjatE,aThANa,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-thyagarajo-viraajatae.html
tyAgESaM bhajarE,rudra priya,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-thyagesam-bhajarae-raga.html
ucchishTa gaNapatau,kASi rAmakriya,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ucchishta-ganapatau.html
vadAnyESvaraM,dEva gAndhAri,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-vadanyesvaram-raga-deva.html
vAgdEvi mAmava,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vagdevi-mamava-raga.html
vallabhA nAyakasya,bEgaDa,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-vallabhaa-naayakasya.html
vAmAnka sthitayA,aThANa,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vamanka-sthitaya-raga.html
vaMSavati,vaMSavati,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vamsavathi-siva-yuvathi.html
vandE mInAkshi,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-vande-minakshi-raga.html
vara lakshmIM bhaja,saurAshTraM,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-varalakshmim-bhaja-raga.html
vara Siva bAlaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vara-siva-balam-raga.html
varada rAja avAva,gangA tarangiNi,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-varadaraja-avava-raga.html
varada rAja pAhi,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-varadaraja-pahi-raga.html
varada rAjamupAsmahE,sAranga,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-varadarajam-upasmahe.html
vArAhIM,vEga vAhini,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-varahim-raga-vega.html
vAsu dEvamupAsmahE,mALava pancamaM,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vasudevamupasmahe-raga.html
vAtApi gaNa patiM,haMsa dhvani,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vatapi-ganapathim-raga.html
vEda purISvaraM,dhanyASi,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vedapureesvaram-raga.html
vEdAraNyESvarAya,tODi,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vedaranyesvaraya-raga.html
vEnkaTAcala patE,karNATaka kApi,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-venkatachalapathe-raga.html
vEnkaTESvara yAdava,mEgha ranjani,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-venkatesvara-yadava.html
vighnESvaraM,malahari,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vighnesvaram-raga.html
vINA bhEri,AbhEri,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-veena-bheri-raga-abheri.html
vINA pustaka,vEgavAhini,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-veena-pustaka-raga-vega.html
viNAyaka vighna,vEga vAhini,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vinayaka-vighna-raga.html
vIra hanumatE,karNATaka kApi,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-veera-hanumate-raga.html
vIra vasanta,vIra vasanta,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-veera-vasanta-raga.html
viSAlAkshIM,kASi rAmakriya,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vishalakshim-vishveshim.html
viSva nAthaM bhajEhaM,naTAbharaNaM,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-visvanatham-bhajeham.html
viSva nAthEna,sAmanta,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-visvanathena-raga.html
viSvESvarO rakshatu,kAnaDa,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-vishveshvaro-rakshatu.html
